mean_reward,collision_rate,epsilon,episodes,step
25.950809993381153,0.8969359331476323,0.525,359,5000
34.234109599300226,0.7547528517110266,0.050000000000000044,526,10000
31.139041747746376,0.6236722306525038,0.050000000000000044,659,15000
33.07997669095489,0.5398230088495575,0.050000000000000044,791,20000
36.77818362928037,0.47562296858071507,0.050000000000000044,923,25000
35.11635486693346,0.4308712121212121,0.050000000000000044,1056,30000
36.908156992687736,0.39781328847771236,0.050000000000000044,1189,35000
32.81667338340395,0.3772590361445783,0.050000000000000044,1328,40000
35.232157379299494,0.36388323150033947,0.050000000000000044,1473,45000
26.61213291060856,0.35185185185185186,0.050000000000000044,1620,50000
