mean_reward,loss,epsilon,episodes,collision_rate,step
2.9,0.34159677194431426,0.910985,249,0.321285140562249,1000
2.4,0.4835357004404068,0.815985,500,0.318,2000
2.9,0.555917779058218,0.720985,744,0.3131720430107527,3000
2.1,0.5493299804627896,0.625985,986,0.3093306288032454,4000
4.6,0.5107476802170277,0.530985,1230,0.3089430894308943,5000
1.7,0.48389602936804293,0.43598500000000007,1468,0.30449591280653954,6000
4.2,0.47230315804481504,0.3409850000000001,1706,0.30246189917936694,7000
5.0,0.4838558761775494,0.24598500000000012,1936,0.29855371900826444,8000
2.8,0.46103061966598036,0.15098500000000004,2168,0.2965867158671587,9000
4.3,0.479681508243084,0.05598500000000006,2397,0.2928660826032541,10000
3.5,0.4754419146478176,0.050000000000000044,2629,0.2932674020540129,11000
2.5572323031154918,0.45628544986248015,0.050000000000000044,2859,0.291710388247639,12000
4.6,0.48415941260755063,0.050000000000000044,3098,0.2947062621045836,13000
2.8572323031154916,0.40632132984697816,0.050000000000000044,3332,0.29531812725090034,14000
3.5,0.46016864508390426,0.050000000000000044,3560,0.2932584269662921,15000
3.5,0.4212981663644314,0.050000000000000044,3787,0.29046738843411674,16000
2.5,0.4472164863348007,0.050000000000000044,4017,0.2912621359223301,17000
2.2,0.43989858277142047,0.050000000000000044,4248,0.2914312617702448,18000
4.3,0.41618133291602133,0.050000000000000044,4479,0.2911364143782094,19000
3.5572323031154918,0.46047314047813415,0.050000000000000044,4712,0.2909592529711375,20000
4.0,0.4046847655624151,0.050000000000000044,4940,0.28927125506072876,21000
4.1,0.4152334797382355,0.050000000000000044,5170,0.28800773694390713,22000
2.8,0.42571607962250707,0.050000000000000044,5405,0.2901017576318224,23000
2.7,0.4391281485557556,0.050000000000000044,5644,0.2914599574769667,24000
2.2,0.4199898132681847,0.050000000000000044,5878,0.2921061585573324,25000
2.4572323031154917,0.4400470012426376,0.050000000000000044,6114,0.29326136735361463,26000
2.7572323031154915,0.4303375807404518,0.050000000000000044,6351,0.29507164226106125,27000
2.5,0.43519944794476034,0.050000000000000044,6587,0.29543039319872477,28000
3.3,0.42084540233016016,0.050000000000000044,6818,0.2948078615429745,29000
2.8,0.42053268298506735,0.050000000000000044,7051,0.29442632250744577,30000
1.441620301783265,0.40852721601724623,0.050000000000000044,7291,0.2963928130571938,31000
4.257232303115492,0.4122628394514322,0.050000000000000044,7524,0.2961190855927698,32000
2.6,0.3830882184207439,0.050000000000000044,7760,0.29690721649484536,33000
1.3,0.3966820441931486,0.050000000000000044,7995,0.2970606629143214,34000
3.6,0.3928877478837967,0.050000000000000044,8228,0.2971560525036461,35000
3.9,0.42876104921102526,0.050000000000000044,8463,0.2977667493796526,36000
3.0,0.40776454627513886,0.050000000000000044,8699,0.2984251063340614,37000
3.4,0.4097290216758847,0.050000000000000044,8939,0.2999216914643696,38000
3.4,0.41775264278054236,0.050000000000000044,9172,0.3004797208896642,39000
3.0572323031154918,0.4171285705268383,0.050000000000000044,9407,0.30062719251621134,40000
4.0,0.4177665151655674,0.050000000000000044,9645,0.3016070502851218,41000
4.0,0.4334706168994307,0.050000000000000044,9872,0.30054700162074555,42000
3.6,0.4129439887404442,0.050000000000000044,10102,0.3004355573153831,43000
2.341620301783265,0.43585931971669195,0.050000000000000044,10336,0.3005998452012384,44000
3.6,0.3927723617106676,0.050000000000000044,10579,0.30258058417619815,45000
3.6,0.37084987461566926,0.050000000000000044,10811,0.30219221163629634,46000
0.9572323031154916,0.39952510558068755,0.050000000000000044,11043,0.30200126777143893,47000
4.4,0.41038529731333256,0.050000000000000044,11278,0.3020039014009576,48000
3.5572323031154918,0.3830620485544205,0.050000000000000044,11517,0.30294347486324563,49000
3.3,0.41532528050243855,0.050000000000000044,11745,0.30225627926777354,50000
