mean_reward,collision_rate,epsilon,episodes,step
18.19610812607659,0.9322916666666666,0.525,384,5000
35.40184216285469,0.7769516728624535,0.050000000000000044,538,10000
36.81908941082053,0.6553254437869822,0.050000000000000044,676,15000
35.0031749994732,0.5730061349693252,0.050000000000000044,815,20000
32.60083098544873,0.5079030558482613,0.050000000000000044,949,25000
34.81904423577024,0.45790934320074006,0.050000000000000044,1081,30000
35.93821433207185,0.42504118616144976,0.050000000000000044,1214,35000
35.42759092054998,0.4072431633407243,0.050000000000000044,1353,40000
28.304861081174266,0.39371657754010697,0.050000000000000044,1496,45000
35.97122735070862,0.37239263803680983,0.050000000000000044,1630,50000
