mean_reward,loss,epsilon,episodes,collision_rate,step
0.4572323031154917,0.3064659396186471,0.910985,243,0.2839506172839506,1000
3.7,0.4324668279290199,0.815985,492,0.2967479674796748,2000
3.0572323031154918,0.43291814520955085,0.720985,731,0.29411764705882354,3000
1.7,0.4660104151815176,0.625985,982,0.31262729124236255,4000
2.791365636448825,0.4134284548461437,0.530985,1222,0.30851063829787234,5000
2.6572323031154914,0.457645316272974,0.43598500000000007,1465,0.30716723549488056,6000
4.1,0.41729279831051824,0.3409850000000001,1707,0.3093145869947276,7000
3.6,0.42280315086245535,0.24598500000000012,1943,0.31137416366443643,8000
3.5572323031154918,0.4214778111875057,0.15098500000000004,2178,0.3108356290174472,9000
3.4,0.4121352542191744,0.05598500000000006,2422,0.31626754748142033,10000
1.3,0.3929409808665514,0.050000000000000044,2664,0.3201951951951952,11000
3.6572323031154914,0.3862190862745047,0.050000000000000044,2903,0.32070272132276956,12000
2.1,0.37652715764939787,0.050000000000000044,3140,0.32229299363057323,13000
2.09342153785883,0.39586576975882054,0.050000000000000044,3373,0.3207826860361696,14000
3.5572323031154918,0.3628053953871131,0.050000000000000044,3606,0.31835829173599556,15000
4.3,0.3855206160992384,0.050000000000000044,3842,0.31936491410723583,16000
4.0,0.3783230111002922,0.050000000000000044,4069,0.3155566478250184,17000
4.0,0.34082173198461535,0.050000000000000044,4299,0.31402651779483604,18000
2.1,0.39891714878380297,0.050000000000000044,4537,0.3145250165307472,19000
3.1,0.384893796145916,0.050000000000000044,4773,0.3151058034778965,20000
4.3,0.35804315902292727,0.050000000000000044,5003,0.3148111133320008,21000
2.8,0.36064419366419315,0.050000000000000044,5238,0.31405116456662846,22000
2.1,0.36255591094493866,0.050000000000000044,5473,0.31445276813447837,23000
2.8572323031154916,0.35508770145475865,0.050000000000000044,5703,0.3122917762581098,24000
1.7572323031154915,0.3438709359616041,0.050000000000000044,5943,0.31415110213696784,25000
2.0,0.3537391748279333,0.050000000000000044,6176,0.31395725388601037,26000
2.4,0.38523330993950367,0.050000000000000044,6408,0.31320224719101125,27000
2.8572323031154916,0.35257299020886423,0.050000000000000044,6640,0.3125,28000
0.7572323031154916,0.3673737473040819,0.050000000000000044,6882,0.3131357163615228,29000
2.1,0.3601518291607499,0.050000000000000044,7115,0.31314125087842587,30000
3.9,0.3793876250088215,0.050000000000000044,7351,0.3136988164875527,31000
3.0,0.39315351530909537,0.050000000000000044,7592,0.31585879873551104,32000
3.3,0.36851866587996485,0.050000000000000044,7827,0.3153187683659129,33000
2.6,0.35438885033130646,0.050000000000000044,8063,0.31563934019595685,34000
3.3,0.37208213716745375,0.050000000000000044,8294,0.3149264528574873,35000
2.7,0.3640763035416603,0.050000000000000044,8525,0.31390029325513197,36000
4.9,0.32800745889544486,0.050000000000000044,8758,0.3134277232244805,37000
4.2,0.34060427993535997,0.050000000000000044,8991,0.3134245356467579,38000
3.2572323031154915,0.36601294703781606,0.050000000000000044,9230,0.31408450704225355,39000
2.2,0.367491377517581,0.050000000000000044,9463,0.313748282785586,40000
2.2,0.3404940636083484,0.050000000000000044,9693,0.3133188899205612,41000
2.6572323031154914,0.3723986954241991,0.050000000000000044,9925,0.3127455919395466,42000
3.5,0.37917310327291487,0.050000000000000044,10161,0.3134534002558803,43000
2.9,0.3383461393415928,0.050000000000000044,10396,0.31358214697960757,44000
1.3,0.34289234861731527,0.050000000000000044,10634,0.314086891104006,45000
3.9,0.3832240380346775,0.050000000000000044,10865,0.31348366313851816,46000
2.3,0.33084914401173593,0.050000000000000044,11099,0.3138120551401027,47000
3.2572323031154915,0.35766724340617656,0.050000000000000044,11335,0.313718570798412,48000
2.9,0.39101323544979094,0.050000000000000044,11576,0.3145300621976503,49000
2.8,0.36236809723079205,0.050000000000000044,11811,0.31470662941325883,50000
