mean_reward,collision_rate,epsilon,episodes,step
22.740090811035323,0.9226519337016574,0.525,362,5000
35.493672306804676,0.7621832358674464,0.050000000000000044,513,10000
36.884563497379055,0.625,0.050000000000000044,640,15000
31.17682862253904,0.538860103626943,0.050000000000000044,772,20000
30.634952087287225,0.4812775330396476,0.050000000000000044,908,25000
35.35623744615221,0.43984600577478344,0.050000000000000044,1039,30000
36.501758226878685,0.3998287671232877,0.050000000000000044,1168,35000
29.924290511658633,0.37815126050420167,0.050000000000000044,1309,40000
34.8144098907674,0.3611878453038674,0.050000000000000044,1448,45000
34.51497687014005,0.34785353535353536,0.050000000000000044,1584,50000
