mean_reward,loss,epsilon,episodes,collision_rate,step
3.3,0,1.0,249,0.3253012048192771,1000
2.3,0,1.0,498,0.3092369477911647,2000
3.5,0,1.0,746,0.30563002680965146,3000
3.1,0,1.0,995,0.30954773869346736,4000
1.5,0,1.0,1245,0.3108433734939759,5000
