mean_reward,collision_rate,epsilon,episodes,step
16.161573315504178,0.9354005167958657,0.525,387,5000
35.570918393010714,0.7945945945945946,0.050000000000000044,555,10000
36.776240522597305,0.6685962373371924,0.050000000000000044,691,15000
35.15812572901999,0.5908543922984356,0.050000000000000044,831,20000
36.91803241791912,0.534020618556701,0.050000000000000044,970,25000
32.682408974200186,0.4959785522788204,0.050000000000000044,1119,30000
32.38444629569817,0.46476642913697547,0.050000000000000044,1263,35000
34.319877938348874,0.44876325088339225,0.050000000000000044,1415,40000
28.776654087437226,0.4319488817891374,0.050000000000000044,1565,45000
34.53253594638914,0.41967403958090804,0.050000000000000044,1718,50000
