mean_reward,loss,epsilon,episodes,collision_rate,step
2.6572323031154914,0.32933003675192596,0.910985,247,0.30364372469635625,1000
4.5,0.5147348518669606,0.815985,492,0.3008130081300813,2000
3.4,0.4843508405983448,0.720985,734,0.29155313351498635,3000
2.8,0.49815051853656767,0.625985,975,0.29435897435897435,4000
0.8572323031154916,0.49745492480695247,0.530985,1218,0.30049261083743845,5000
2.2,0.4947596833109856,0.43598500000000007,1458,0.3017832647462277,6000
2.6,0.4730581432580948,0.3409850000000001,1700,0.3064705882352941,7000
3.8,0.4859224753826857,0.24598500000000012,1932,0.2991718426501035,8000
4.0,0.487442157715559,0.15098500000000004,2162,0.2960222016651249,9000
3.5,0.4735748725384474,0.05598500000000006,2398,0.2964970809007506,10000
3.2,0.44761512100696565,0.050000000000000044,2632,0.29825227963525835,11000
3.9,0.4687669419497251,0.050000000000000044,2861,0.2953512757777001,12000
3.3,0.45910436928272247,0.050000000000000044,3097,0.2980303519535034,13000
3.0,0.4127168893814087,0.050000000000000044,3325,0.2956390977443609,14000
4.1,0.44560758531093597,0.050000000000000044,3561,0.2965459140690817,15000
2.9,0.4341791310161352,0.050000000000000044,3795,0.29802371541501976,16000
1.9572323031154917,0.4155524867773056,0.050000000000000044,4032,0.29985119047619047,17000
2.9,0.43504933394491674,0.050000000000000044,4262,0.2977475363679024,18000
1.0,0.395925302952528,0.050000000000000044,4498,0.29946642952423297,19000
2.459288204525497,0.41317145854234694,0.050000000000000044,4735,0.30095036958817317,20000
3.4,0.4339960402995348,0.050000000000000044,4973,0.30303639654132314,21000
2.5,0.4067053371295333,0.050000000000000044,5203,0.3023255813953488,22000
3.0,0.42901557967066767,0.050000000000000044,5436,0.30261221486387047,23000
3.5,0.4126224286109209,0.050000000000000044,5670,0.30229276895943563,24000
3.0,0.3759140180796385,0.050000000000000044,5903,0.3028968321192614,25000
3.441620301783265,0.4024546225368977,0.050000000000000044,6139,0.3033067274800456,26000
2.9,0.41659028857946395,0.050000000000000044,6377,0.3035910302650149,27000
2.0,0.4179692890495062,0.050000000000000044,6613,0.30409798880991984,28000
2.7,0.44697453528642656,0.050000000000000044,6845,0.30445580715850984,29000
1.8,0.3990147892013192,0.050000000000000044,7077,0.3039423484527342,30000
3.7,0.4218880950659514,0.050000000000000044,7308,0.303639846743295,31000
2.8,0.3769274073839188,0.050000000000000044,7541,0.3040710781063519,32000
3.2,0.3889762217923999,0.050000000000000044,7775,0.30418006430868166,33000
2.9572323031154917,0.40379122491925956,0.050000000000000044,8016,0.3061377245508982,34000
2.9,0.4078939051926136,0.050000000000000044,8250,0.3069090909090909,35000
3.6,0.36454808749258516,0.050000000000000044,8486,0.3062691491868961,36000
3.9572323031154917,0.3920942140556872,0.050000000000000044,8720,0.3063073394495413,37000
1.4,0.40568636953830717,0.050000000000000044,8949,0.3057324840764331,38000
4.3,0.4026518588513136,0.050000000000000044,9184,0.30585801393728224,39000
2.1572323031154914,0.4185340020433068,0.050000000000000044,9420,0.3064755838641189,40000
2.6,0.40757377572357656,0.050000000000000044,9650,0.3055958549222798,41000
2.924326508307102,0.39461903505027296,0.050000000000000044,9880,0.30455465587044533,42000
3.4,0.4148307859152556,0.050000000000000044,10115,0.30489372219476024,43000
4.3,0.4170822672173381,0.050000000000000044,10350,0.3056038647342995,44000
0.4,0.38119544960558416,0.050000000000000044,10589,0.3064500897157428,45000
4.8,0.3970911007747054,0.050000000000000044,10817,0.3052602385134511,46000
4.4,0.37910005360841753,0.050000000000000044,11047,0.3046981080836426,47000
3.2,0.3909832468628883,0.050000000000000044,11279,0.3043709548718858,48000
4.7,0.3406116908043623,0.050000000000000044,11518,0.3053481507206112,49000
2.6572323031154914,0.4161262830346823,0.050000000000000044,11753,0.30579426529396747,50000
