mean_reward,loss,epsilon,episodes,collision_rate,step
2.591365636448825,0.3434068978577852,0.910985,247,0.3157894736842105,1000
3.5,0.4784984991326928,0.815985,485,0.29690721649484536,2000
2.7,0.5355614161491394,0.720985,726,0.29614325068870523,3000
3.2,0.45854073740541934,0.625985,965,0.30259067357512953,4000
4.157232303115491,0.46961211130023,0.530985,1200,0.2941666666666667,5000
4.2,0.4864305600523949,0.43598500000000007,1444,0.3026315789473684,6000
4.0,0.48183876171708107,0.3409850000000001,1687,0.3064611736810907,7000
2.6,0.44205801405012607,0.24598500000000012,1923,0.30629225169006763,8000
2.714464606230983,0.4584304135292768,0.15098500000000004,2162,0.31174838112858466,9000
2.0,0.48163046322762965,0.05598500000000006,2400,0.3125,10000
2.8,0.4902051643282175,0.050000000000000044,2635,0.31157495256166984,11000
3.6,0.45141932159662246,0.050000000000000044,2874,0.3148921363952679,12000
3.2,0.4450343604385853,0.050000000000000044,3110,0.3147909967845659,13000
3.2,0.4450218791514635,0.050000000000000044,3343,0.3119952138797487,14000
4.2,0.4444892667233944,0.050000000000000044,3578,0.3116266070430408,15000
4.2,0.4828430639952421,0.050000000000000044,3814,0.3117461982170949,16000
2.8,0.41864020951092246,0.050000000000000044,4047,0.31183592784778846,17000
2.9,0.43009411603212355,0.050000000000000044,4277,0.31190086509235443,18000
3.5,0.45122559025883674,0.050000000000000044,4513,0.31243075559494793,19000
2.5,0.39102995008230207,0.050000000000000044,4752,0.31334175084175087,20000
3.214464606230983,0.4114955069124699,0.050000000000000044,4982,0.3133279807306303,21000
3.4,0.3966865067183971,0.050000000000000044,5212,0.31216423637759017,22000
3.2572323031154915,0.379729819893837,0.050000000000000044,5449,0.3130849697192145,23000
3.5,0.36963268995285037,0.050000000000000044,5682,0.31133403731080606,24000
1.5,0.36207381285727025,0.050000000000000044,5920,0.31283783783783786,25000
2.9,0.36978877857327463,0.050000000000000044,6155,0.31356620633631194,26000
4.2,0.3603772097826004,0.050000000000000044,6395,0.31462079749804533,27000
2.5,0.3581289651989937,0.050000000000000044,6629,0.31482878262181324,28000
1.9165205076409886,0.3278642027825117,0.050000000000000044,6865,0.31507647487254187,29000
3.7,0.3554455237835646,0.050000000000000044,7100,0.31535211267605634,30000
0.1,0.34992918226867914,0.050000000000000044,7332,0.3153300600109111,31000
0.9572323031154916,0.3330111690610647,0.050000000000000044,7567,0.3151843531121977,32000
2.6,0.36371757462620735,0.050000000000000044,7807,0.31625464326886127,33000
2.5,0.3538332140445709,0.050000000000000044,8037,0.3147940773920617,34000
2.8,0.3547693061083555,0.050000000000000044,8268,0.3141025641025641,35000
2.0572323031154918,0.3560835920274258,0.050000000000000044,8500,0.3136470588235294,36000
2.0,0.3285968730226159,0.050000000000000044,8732,0.31333027943197433,37000
3.6,0.36693319492042065,0.050000000000000044,8966,0.3128485389248271,38000
4.9,0.36185969643294813,0.050000000000000044,9197,0.3118408176579319,39000
4.057232303115492,0.33413703978061676,0.050000000000000044,9430,0.31102863202545067,40000
3.0,0.3510956075787544,0.050000000000000044,9662,0.3114262057545022,41000
4.0,0.3294259228557348,0.050000000000000044,9892,0.3106550748079256,42000
2.4,0.3549198967218399,0.050000000000000044,10129,0.3113831572712015,43000
4.2,0.36702728278934954,0.050000000000000044,10359,0.31064774592142097,44000
3.2,0.3679394843429327,0.050000000000000044,10593,0.3102992542244879,45000
3.6,0.35312158837914465,0.050000000000000044,10824,0.30977457501847744,46000
4.2,0.33949766263365744,0.050000000000000044,11054,0.30920933598697303,47000
1.8592882045254968,0.3488639341294765,0.050000000000000044,11292,0.3095111583421892,48000
3.2572323031154915,0.3424867808818817,0.050000000000000044,11533,0.310153472643718,49000
3.7,0.33443481765687466,0.050000000000000044,11766,0.31047084820669724,50000
